"year","zone","group","destination","measure","value"
"2012-2013","S01001790","All","All","Count",11
"2009-2010","S01001790","All","All","Count",3
"2007-2008","S01001790","All","All","Count",8
"2011-2012","S01001790","All","All","Count",10
"2010-2011","S01001790","All","All","Count",4
"2008-2009","S01001790","All","All","Count",8
"2008-2009","S01001790","All","Positive","Ratio",75
"2009-2010","S01001790","All","Positive","Ratio","66.7"
"2010-2011","S01001790","All","Positive","Ratio",100
"2007-2008","S01001790","All","Positive","Ratio",100
"2011-2012","S01001790","All","Positive","Ratio",100
"2012-2013","S01001790","All","Positive","Ratio",100
"2010-2011","S01001790","All","Other Known","Ratio",0
"2008-2009","S01001790","All","Other Known","Ratio",25
"2009-2010","S01001790","All","Other Known","Ratio","33.3"
"2011-2012","S01001790","All","Other Known","Ratio",0
"2012-2013","S01001790","All","Other Known","Ratio",0
"2007-2008","S01001790","All","Other Known","Ratio",0
"2012-2013","S01001791","All","All","Count",6
"2009-2010","S01001791","All","All","Count",6
"2007-2008","S01001791","All","All","Count",8
"2011-2012","S01001791","All","All","Count",10
"2010-2011","S01001791","All","All","Count",7
"2008-2009","S01001791","All","All","Count",11
"2008-2009","S01001791","All","Positive","Ratio",100
"2009-2010","S01001791","All","Positive","Ratio","83.3"
"2010-2011","S01001791","All","Positive","Ratio",100
"2007-2008","S01001791","All","Positive","Ratio","87.5"
"2011-2012","S01001791","All","Positive","Ratio",100
"2012-2013","S01001791","All","Positive","Ratio",100
"2010-2011","S01001791","All","Other Known","Ratio",0
"2008-2009","S01001791","All","Other Known","Ratio",0
"2009-2010","S01001791","All","Other Known","Ratio","16.7"
"2011-2012","S01001791","All","Other Known","Ratio",0
"2012-2013","S01001791","All","Other Known","Ratio",0
"2007-2008","S01001791","All","Other Known","Ratio","12.5"
"2012-2013","S01001792","All","All","Count",8
"2009-2010","S01001792","All","All","Count",7
"2007-2008","S01001792","All","All","Count",7
"2011-2012","S01001792","All","All","Count",8
"2010-2011","S01001792","All","All","Count",11
"2008-2009","S01001792","All","All","Count",7
"2008-2009","S01001792","All","Positive","Ratio","85.7"
"2009-2010","S01001792","All","Positive","Ratio",100
"2010-2011","S01001792","All","Positive","Ratio",100
"2007-2008","S01001792","All","Positive","Ratio",100
"2011-2012","S01001792","All","Positive","Ratio",100
"2012-2013","S01001792","All","Positive","Ratio",100
"2010-2011","S01001792","All","Other Known","Ratio",0
"2008-2009","S01001792","All","Other Known","Ratio","14.3"
"2009-2010","S01001792","All","Other Known","Ratio",0
"2011-2012","S01001792","All","Other Known","Ratio",0
"2012-2013","S01001792","All","Other Known","Ratio",0
"2007-2008","S01001792","All","Other Known","Ratio",0
"2010-2011","S01001793","All","All","Count",8
"2010-2011","S01001793","All","Positive","Ratio",100
"2010-2011","S01001793","All","Other Known","Ratio",0
"2008-2009","S01001793","All","Positive","Ratio","83.3"
"2008-2009","S01001793","All","All","Count",6
"2008-2009","S01001793","All","Other Known","Ratio","16.7"
"2009-2010","S01001793","All","All","Count",8
"2009-2010","S01001793","All","Other Known","Ratio",25
"2009-2010","S01001793","All","Positive","Ratio",75
"2011-2012","S01001793","All","All","Count",8
"2011-2012","S01001793","All","Positive","Ratio",100
"2011-2012","S01001793","All","Other Known","Ratio",0
"2012-2013","S01001793","All","Positive","Ratio",100
"2012-2013","S01001793","All","All","Count",8
"2012-2013","S01001793","All","Other Known","Ratio",0
"2007-2008","S01001793","All","Other Known","Ratio","13.3"
"2007-2008","S01001793","All","All","Count",15
"2007-2008","S01001793","All","Positive","Ratio","86.7"
"2010-2011","S01001794","All","All","Count",10
"2010-2011","S01001794","All","Positive","Ratio",100
"2010-2011","S01001794","All","Other Known","Ratio",0
"2008-2009","S01001794","All","Positive","Ratio","90.9"
"2008-2009","S01001794","All","All","Count",11
"2008-2009","S01001794","All","Other Known","Ratio","9.1"
"2009-2010","S01001794","All","All","Count",8
"2009-2010","S01001794","All","Other Known","Ratio",25
"2009-2010","S01001794","All","Positive","Ratio",75
"2011-2012","S01001794","All","All","Count",11
"2011-2012","S01001794","All","Positive","Ratio","81.8"
"2011-2012","S01001794","All","Other Known","Ratio","18.2"
"2012-2013","S01001794","All","Positive","Ratio",100
"2012-2013","S01001794","All","All","Count",7
"2012-2013","S01001794","All","Other Known","Ratio",0
"2007-2008","S01001794","All","Other Known","Ratio",0
"2007-2008","S01001794","All","All","Count",11
"2007-2008","S01001794","All","Positive","Ratio",100
"2012-2013","S01001795","All","All","Count",2
"2009-2010","S01001795","All","All","Count",4
"2007-2008","S01001795","All","All","Count",5
